"school","conference","color","alt_color","logo"
"57","Memphis","American Athletic","#002447","#231f20","http://a.espncdn.com/i/teamlogos/ncaa/500/235.png"
"58","Miami","ACC","#004325","#f0f0f0","http://a.espncdn.com/i/teamlogos/ncaa/500/2390.png"
"59","Miami (OH)","Mid-American","#a4000c","#f0f0f0","http://a.espncdn.com/i/teamlogos/ncaa/500/193.png"
"60","Michigan","Big Ten","#00274c","#ffcb05","http://a.espncdn.com/i/teamlogos/ncaa/500/130.png"
"61","Michigan State","Big Ten","#18453B","#ffffff","http://a.espncdn.com/i/teamlogos/ncaa/500/127.png"
"62","Middle Tennessee","Conference USA","#0079C2","#c3c5c8","http://a.espncdn.com/i/teamlogos/ncaa/500/2393.png"
"63","Minnesota","Big Ten","#7F011B","#7a0019","http://a.espncdn.com/i/teamlogos/ncaa/500/135.png"
"64","Mississippi State","SEC","#762123","#c8c8c8","http://a.espncdn.com/i/teamlogos/ncaa/500/344.png"
"65","Missouri","SEC","#000000","#000000","http://a.espncdn.com/i/teamlogos/ncaa/500/142.png"
"66","Navy","American Athletic","#131630","#b6a77c","http://a.espncdn.com/i/teamlogos/ncaa/500/2426.png"
"67","NC State","ACC","#EF1216","#231f20","http://a.espncdn.com/i/teamlogos/ncaa/500/152.png"
"68","Nebraska","Big Ten","#F20017","#f5f1e7","http://a.espncdn.com/i/teamlogos/ncaa/500/158.png"
"69","Nevada","Mountain West","#153E5F","#8e9295","http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png"
"70","New Mexico","Mountain West","#000000","#231f20","http://a.espncdn.com/i/teamlogos/ncaa/500/167.png"
"71","New Mexico State","FBS Independents","#891216","#000000","http://a.espncdn.com/i/teamlogos/ncaa/500/166.png"
"72","North Carolina","ACC","#99bfe5","#13294b","http://a.espncdn.com/i/teamlogos/ncaa/500/153.png"
"73","Northern Illinois","Mid-American","#F1122C","#cc0000","http://a.espncdn.com/i/teamlogos/ncaa/500/2459.png"
"74","North Texas","Conference USA","#00853D","#000000","http://a.espncdn.com/i/teamlogos/ncaa/500/249.png"
"75","Northwestern","Big Ten","#372286","#d6cac1","http://a.espncdn.com/i/teamlogos/ncaa/500/77.png"
"76","Notre Dame","FBS Independents","#00122b","#ae9142","http://a.espncdn.com/i/teamlogos/ncaa/500/87.png"
"77","Ohio","Mid-American","#295A29","#e4bb85","http://a.espncdn.com/i/teamlogos/ncaa/500/195.png"
"78","Ohio State","Big Ten","#DE3121","#666666","http://a.espncdn.com/i/teamlogos/ncaa/500/194.png"
"79","Oklahoma","Big 12","#7b0000","#cccccc","http://a.espncdn.com/i/teamlogos/ncaa/500/201.png"
"80","Oklahoma State","Big 12","#FF6500","#ff9900","http://a.espncdn.com/i/teamlogos/ncaa/500/197.png"
"81","Old Dominion","Conference USA","#00507d","#a1d2f1","http://a.espncdn.com/i/teamlogos/ncaa/500/295.png"
"82","Ole Miss","SEC","#001148","#00205b","http://a.espncdn.com/i/teamlogos/ncaa/500/145.png"
"83","Oregon","Pac-12","#044520","#fee123","http://a.espncdn.com/i/teamlogos/ncaa/500/2483.png"
"84","Oregon State","Pac-12","#c34500","#dea076","http://a.espncdn.com/i/teamlogos/ncaa/500/204.png"
"85","Penn State","Big Ten","#00265D","#002e5c","http://a.espncdn.com/i/teamlogos/ncaa/500/213.png"
"86","Pittsburgh","ACC","#003263","#231f20","http://a.espncdn.com/i/teamlogos/ncaa/500/221.png"
"87","Purdue","Big Ten","#B89D29","#a4a9ad","http://a.espncdn.com/i/teamlogos/ncaa/500/2509.png"
"88","Rice","Conference USA","#003D7D","#d1d5d8","http://a.espncdn.com/i/teamlogos/ncaa/500/242.png"
"89","Rutgers","Big Ten","#d21034","#ffffff","http://a.espncdn.com/i/teamlogos/ncaa/500/164.png"
"90","San Diego State","Mountain West","#BF2C37","#a8996e","http://a.espncdn.com/i/teamlogos/ncaa/500/21.png"
"91","San José State","Mountain West","#005893","#fdba31","http://a.espncdn.com/i/teamlogos/ncaa/500/23.png"
"92","SMU","American Athletic","#E32F38","#ecdcb9","http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png"
"93","South Alabama","Sun Belt","#003E7E",NA,"http://a.espncdn.com/i/teamlogos/ncaa/500/6.png"
"94","South Carolina","SEC","#670010","#000000","http://a.espncdn.com/i/teamlogos/ncaa/500/2579.png"
"95","Southern Mississippi","Conference USA","#FFAA3C","#ffc423","http://a.espncdn.com/i/teamlogos/ncaa/500/2572.png"
"96","South Florida","American Athletic","#004A36","#231f20","http://a.espncdn.com/i/teamlogos/ncaa/500/58.png"
"97","Stanford","Pac-12","#A80532","#ffffff","http://a.espncdn.com/i/teamlogos/ncaa/500/24.png"
"98","Syracuse","ACC","#F37321","#0d1d37","http://a.espncdn.com/i/teamlogos/ncaa/500/183.png"
"99","TCU","Big 12","#3C377D","#f1f2f3","http://a.espncdn.com/i/teamlogos/ncaa/500/2628.png"
"100","Temple","American Athletic","#A80532","#a7a9ac","http://a.espncdn.com/i/teamlogos/ncaa/500/218.png"
"101","Tennessee","SEC","#EE9627","#ffffff","http://a.espncdn.com/i/teamlogos/ncaa/500/2633.png"
"102","Texas","Big 12","#EE7524","#f0f0f0","http://a.espncdn.com/i/teamlogos/ncaa/500/251.png"
"103","Texas A&M","SEC","#5C0025","#ffffff","http://a.espncdn.com/i/teamlogos/ncaa/500/245.png"
"104","Texas State","Sun Belt","#4e1719","#b4975a","http://a.espncdn.com/i/teamlogos/ncaa/500/326.png"
"105","Texas Tech","Big 12","#C80025","#231f20","http://a.espncdn.com/i/teamlogos/ncaa/500/2641.png"
"106","Toledo","Mid-American","#00488F","#ffd51d","http://a.espncdn.com/i/teamlogos/ncaa/500/2649.png"
"107","Troy","Sun Belt","#AE0210","#88898c","http://a.espncdn.com/i/teamlogos/ncaa/500/2653.png"
"108","Tulane","American Athletic","#005837","#3baf29","http://a.espncdn.com/i/teamlogos/ncaa/500/2655.png"
"109","Tulsa","American Athletic","#004371","#ee3b33","http://a.espncdn.com/i/teamlogos/ncaa/500/202.png"
